Country/Area,Month (abbr),Year,Growth Rate(%),Visitor Arrivals
Singapore,Jan.,2018,,"21,169"
Singapore,Feb.,2018,,"23,496"
Singapore,Mar.,2018,,"38,089"
Singapore,Apr.,2018,,"37,605"
Singapore,May,2018,,"39,385"
Singapore,Jun.,2018,,"39,975"
Singapore,Jul.,2018,,"21,383"
Singapore,Aug.,2018,,"16,332"
Singapore,Sep.,2018,,"23,366"
Singapore,Oct.,2018,,"35,123"
Singapore,Nov.,2018,,"54,274"
Singapore,Dec.,2018,,"87,083"
Singapore,Jan.,2019,7.118900279,"22,676"
Singapore,Feb.,2019,11.091249574,"26,102"
Singapore,Mar.,2019,14.697156659,"43,687"
Singapore,Apr.,2019,-2.395957984,"36,704"
Singapore,May,2019,-4.405230418,"37,650"
Singapore,Jun.,2019,18.233896185,"47,264"
Singapore,Jul.,2019,1.557311883,"21,716"
Singapore,Aug.,2019,20.609845702,"19,698"
Singapore,Sep.,2019,24.741076778,"29,147"
Singapore,Oct.,2019,19.400392905,"41,937"
Singapore,Nov.,2019,20.306223975,"65,295"
Singapore,Dec.,2019,15.264747425,"100,376"
Singapore,Jan.,2020,33.092256130,"30,180"
Singapore,Feb.,2020,-25.097693663,"19,551"
Singapore,Mar.,2020,-88.440497173,"5,050"
Singapore,Apr.,2020,-99.997275501,1
Singapore,May,2020,-100,0
Singapore,Jun.,2020,-99.989421124,5
Singapore,Jul.,2020,-99.940136305,13
Singapore,Aug.,2020,-99.893390192,21
Singapore,Sep.,2020,-99.897073455,30
Singapore,Oct.,2020,-99.666165916,140
Singapore,Nov.,2020,-99.753426755,161
Singapore,Dec.,2020,-99.879453256,121
Singapore,Jan.,2021,-99.718356528,85
Singapore,Feb.,2021,-99.754488261,48
Singapore,Mar.,2021,-98.792079208,61
Singapore,Apr.,2021,"3,900",40
Singapore,May,2021,,37
Singapore,Jun.,2021,700,40
Singapore,Jul.,2021,"1,223.076923077",172
Singapore,Aug.,2021,338.095238095,92
Singapore,Sep.,2021,133.333333333,70
Singapore,Oct.,2021,-52.857142857,66
Singapore,Nov.,2021,-40.993788820,95
Singapore,Dec.,2021,-57.851239669,51
Singapore,Jan.,2022,-15.294117647,72
Singapore,Feb.,2022,79.166666667,86
Singapore,Mar.,2022,381.967213115,294
Singapore,Apr.,2022,"1,392.5",597
Singapore,May,2022,"3,183.783783784","1,215"
Singapore,Jun.,2022,"3,370","1,388"
Singapore,Jul.,2022,"1,043.604651163","1,967"
Singapore,Aug.,2022,"1,816.304347826","1,763"
Singapore,Sep.,2022,"4,024.285714286","2,887"
Singapore,Oct.,2022,"21,621.212121212","14,336"
Singapore,Nov.,2022,"42,343.157894737","40,321"
Singapore,Dec.,2022,"131,356.862745098","67,043"
Singapore,Jan.,2023,"36,925","26,658"
Singapore,Feb.,2023,"31,386.046511628","27,078"
Singapore,Mar.,2023,"17,815.306122449","52,671"
Singapore,Apr.,2023,"6,932.160804020","41,982"
Singapore,May,2023,"3,994.320987654","49,746"
Singapore,Jun.,2023,"3,831.412103746","54,568"
Singapore,Jul.,2023,"1,187.239450941","25,320"
Singapore,Aug.,2023,"1,050.085082246","20,276"
Singapore,Sep.,2023,"1,219.882230689","38,105"
Singapore,Oct.,2023,284.458705357,"55,116"
Singapore,Nov.,2023,113.417325959,"86,052"
Singapore,Dec.,2023,69.585191593,"113,695"
Singapore,Jan.,2024,28.066621652,"34,140"
Singapore,Feb.,2024,36.328384667,"36,915"
Singapore,Mar.,2024,15.902489036,"61,047"
Singapore,Apr.,2024,10.342527750,"46,324"
Singapore,May,2024,25.992039561,"62,676"
Singapore,Jun.,2024,7.984533060,"58,925"
Singapore,Jul.,2024,11.038704581,"28,115"
Singapore,Aug.,2024,22.218386269,"24,781"
Singapore,Sep.,2024,-1.763548091,"37,433"
Singapore,Oct.,2024,24.809492706,"68,790"
Singapore,Nov.,2024,,
Singapore,Dec.,2024,,
