Prefecture,Visit Rate(%)
Tokyo,61.092
Chiba Prefecture,41.9962
Osaka,41.406
Kyoto,32.6861
Hokkaido,13.4692
Nara Prefecture,8.5901
Aichi Prefecture,8.3931
Yamanashi Prefecture,7.6887
Kanagawa Prefecture,7.4289
Hyogo Prefecture,6.0025
Gifu Prefecture,5.361
Fukuoka Prefecture,4.4063
Nagano Prefecture,4.3976
Okinawa Prefecture,3.8718
Hiroshima Prefecture,3.3652
Oita Prefecture,2.8454
Kumamoto Prefecture,2.4984
Toyama Prefecture,2.3595
Ishikawa Prefecture,2.0637
Shizuoka Prefecture,1.9523
Tochigi Prefecture,1.6542
Nagasaki Prefecture,1.6006
Wakayama Prefecture,1.4087
Miyagi Prefecture,1.3607
Aomori Prefecture,1.3329
Kagoshima prefecture,1.2848
Miyazaki Prefecture,0.9595
Gunma Prefecture,0.9098
Okayama Prefecture,0.8492
Ibaraki Prefecture,0.8383
Saitama Prefecture,0.7798
Saga Prefecture,0.6535
Niigata Prefecture,0.6259
Akita Prefecture,0.5905
Shiga Prefecture,0.5846
Yamagata Prefecture,0.4879
Tottori Prefecture,0.4753
Ehime Prefecture,0.4232
Iwate Prefecture,0.4162
Fukushima Prefecture,0.315
Yamaguchi Prefecture,0.258
Tokushima Prefecture,0.1906
Fukui Prefecture,0.1531
Kochi Prefecture,0.1499
Mie Prefecture,0.139
Shimane Prefecture,0.1152
Kagawa Prefecture,0.0494
